date,wiki_id,popular,test_group,n_pages,view_total,view_median
2018-11-01,bg.wikipedia,no,control,124179,188499,2
2018-11-01,bg.wikipedia,no,treatment,124187,185825,2
2018-11-01,bg.wikipedia,yes,control,51,26592,372
2018-11-01,bg.wikipedia,yes,treatment,49,41703,364
2018-11-01,en.wikipedia,no,control,2895905,47834337,4
2018-11-01,en.wikipedia,no,treatment,2886551,47736945,4
2018-11-01,en.wikipedia,yes,control,54,2029743,28143.5
2018-11-01,en.wikipedia,yes,treatment,46,2342025,34723.5
2018-11-01,es.wikipedia,no,control,723251,8997653,4
2018-11-01,es.wikipedia,no,treatment,725229,9584691,4
2018-11-01,es.wikipedia,yes,control,46,625460,8449
2018-11-01,es.wikipedia,yes,treatment,54,556709,7267.5
2018-11-01,pl.wikipedia,no,control,652945,1857830,2
2018-11-01,pl.wikipedia,no,treatment,661540,2215230,3
2018-11-01,pl.wikipedia,yes,control,46,224366,2826
2018-11-01,pl.wikipedia,yes,treatment,54,190568,2918.5
2018-11-02,bg.wikipedia,no,control,124177,191236,2
2018-11-02,bg.wikipedia,no,treatment,124189,188320,2
2018-11-02,bg.wikipedia,yes,control,53,28279,344
2018-11-02,bg.wikipedia,yes,treatment,47,19976,356
2018-11-02,en.wikipedia,no,control,2895907,46774799,4
2018-11-02,en.wikipedia,no,treatment,2886549,46826051,4
2018-11-02,en.wikipedia,yes,control,52,2345042,25430
2018-11-02,en.wikipedia,yes,treatment,48,2302162,29654
2018-11-02,es.wikipedia,no,control,723251,8523447,4
2018-11-02,es.wikipedia,no,treatment,725229,9079405,4
2018-11-02,es.wikipedia,yes,control,46,682036,9321
2018-11-02,es.wikipedia,yes,treatment,54,438213,6493.5
2018-11-02,pl.wikipedia,no,control,652952,1830404,2
2018-11-02,pl.wikipedia,no,treatment,661533,2186692,3
2018-11-02,pl.wikipedia,yes,control,39,103608,1858
2018-11-02,pl.wikipedia,yes,treatment,61,197063,2023
2018-11-03,bg.wikipedia,no,control,124176,195943,2
2018-11-03,bg.wikipedia,no,treatment,124190,192509,2
2018-11-03,bg.wikipedia,yes,control,54,23929,279.5
2018-11-03,bg.wikipedia,yes,treatment,46,20909,281
2018-11-03,en.wikipedia,no,control,2895907,44102283,4
2018-11-03,en.wikipedia,no,treatment,2886549,44005428,4
2018-11-03,en.wikipedia,yes,control,52,1802218,26468
2018-11-03,en.wikipedia,yes,treatment,48,2041854,28022
2018-11-03,es.wikipedia,no,control,723248,8107653,4
2018-11-03,es.wikipedia,no,treatment,725232,8578598,4
2018-11-03,es.wikipedia,yes,control,49,538235,6807
2018-11-03,es.wikipedia,yes,treatment,51,361193,5225
2018-11-03,pl.wikipedia,no,control,652953,2028747,2
2018-11-03,pl.wikipedia,no,treatment,661532,2428286,3
2018-11-03,pl.wikipedia,yes,control,38,108378,2177.5
2018-11-03,pl.wikipedia,yes,treatment,62,221056,2276
2018-11-04,bg.wikipedia,no,control,124180,222908,2
2018-11-04,bg.wikipedia,no,treatment,124186,220372,2
2018-11-04,bg.wikipedia,yes,control,50,22504,317.5
2018-11-04,bg.wikipedia,yes,treatment,50,22414,293.5
2018-11-04,en.wikipedia,no,control,2895902,48409915,4
2018-11-04,en.wikipedia,no,treatment,2886554,48728673,4
2018-11-04,en.wikipedia,yes,control,57,2408533,32746
2018-11-04,en.wikipedia,yes,treatment,43,2279211,34370
2018-11-04,es.wikipedia,no,control,723248,9540135,4
2018-11-04,es.wikipedia,no,treatment,725232,10138834,4
2018-11-04,es.wikipedia,yes,control,49,598737,7946
2018-11-04,es.wikipedia,yes,treatment,51,463280,6594
2018-11-04,pl.wikipedia,no,control,652952,2381196,3
2018-11-04,pl.wikipedia,no,treatment,661533,2894663,3
2018-11-04,pl.wikipedia,yes,control,39,156586,2492
2018-11-04,pl.wikipedia,yes,treatment,61,288942,2367
2018-11-05,bg.wikipedia,no,control,124175,233201,2
2018-11-05,bg.wikipedia,no,treatment,124191,231956,2
2018-11-05,bg.wikipedia,yes,control,55,55002,366
2018-11-05,bg.wikipedia,yes,treatment,45,25348,375
2018-11-05,en.wikipedia,no,control,2895901,50990854,4
2018-11-05,en.wikipedia,no,treatment,2886555,51251681,4
2018-11-05,en.wikipedia,yes,control,58,2451801,29961.5
